time,query,our_model,vader
2020-10-26 05:08:24.444326+00:00,TESLA,0.2347826086956521,0.14157826086956524
2020-10-26 05:12:47.928579+00:00,TESLA,0.26956521739130435,0.09775565217391304
2020-10-26 05:15:26.124165+00:00,TESLA,0.3043478260869565,0.0942008695652174
2020-10-26 05:44:28.172764+00:00,TESLA,0.21052631578947367,0.12698508771929826
2020-10-26 05:56:03.570704+00:00,TESLA,0.2456140350877193,0.08781666666666665
2020-10-26 05:56:51.525887+00:00,TESLA,0.2280701754385965,0.0822421052631579
2020-10-26 06:07:55.357162+00:00,TESLA,0.03508771929824561,0.13655087719298242
2020-10-26 07:10:44.672920+00:00,TESLA,0.1016949152542373,0.06416610169491525
2020-10-26 08:24:36.946328+00:00,TESLA,0.2692307692307692,0.05715865384615385
2020-10-26 09:58:44.602757+00:00,TESLA,-0.1129032258064516,0.15865967741935486
2020-10-26 11:45:12.059688+00:00,TESLA,-0.008264462809917356,0.17789173553719007
