time,query,our_model,vader
2020-10-26 05:15:34.980132+00:00,UBER,0.027522935779816515,0.10460275229357796
2020-10-26 05:44:36.171949+00:00,UBER,-0.018518518518518517,0.015274074074074063
2020-10-26 05:56:13.235854+00:00,UBER,0.0925925925925926,0.020099999999999986
2020-10-26 05:56:59.986555+00:00,UBER,0.05555555555555555,0.034297222222222215
2020-10-26 06:08:05.110878+00:00,UBER,-0.25925925925925924,-0.011542592592592594
2020-10-26 07:10:56.089122+00:00,UBER,0.0,0.06666666666666668
2020-10-26 08:24:48.246044+00:00,UBER,-0.06666666666666668,-0.017944761904761904
2020-10-26 09:58:54.823271+00:00,UBER,-0.28440366972477066,0.02962477064220184
2020-10-26 11:45:22.860353+00:00,UBER,-0.027522935779816515,-0.031048623853211013
2020-10-26 12:45:52.645607+00:00,UBER,-0.1588785046728972,0.08882616822429906
2020-10-26 13:46:15.796711+00:00,UBER,0.2241379310344828,0.08028103448275861
2020-10-26 14:46:47.659804+00:00,UBER,0.16666666666666666,0.011554166666666673
2020-10-26 15:57:17.218957+00:00,UBER,0.13559322033898305,0.04460254237288135
2020-10-26 17:09:41.031572+00:00,UBER,0.152,0.08756560000000001
2020-10-26 19:10:38.148930+00:00,UBER,0.15254237288135594,0.02539745762711866
2020-10-26 20:11:06.758651+00:00,UBER,0.3228346456692913,-0.015607086614173225
2020-10-26 21:11:28.929657+00:00,UBER,0.31746031746031744,0.10502063492063492
